Q08162	Q08285
P38064	P39960
P35180	Q06389
P40003	P48232
P32899	P38333
P12612	P33750
P16140	Q04675
P12709	P22216
P12398	P53897
P05318	Q12089
P33296	P33418
P33338	P34216
P25454	P33298
P53254	Q12220
P32911	P38707
P07260	P39743
P12954	P39009
P10614	P53344
P12398	Q04922
P53207	Q05900
P21147	P31755
P38316	Q12421
P00425	Q12349
P19882	P33298
P00924	P14904
P15705	P38111
P42838	P46970
P21965	P38691
P38286	Q02795
P32473	P32528
P04397	P07703
P48562	Q02629
P37296	Q12675
P12683	P40319
P41695	Q02794
P27796	P38123
P39981	P50277
P21576	Q03435
P32908	P40957
P36160	Q12522
P34162	P40042
P38264	P50944
P38633	Q08144
P36131	P53168
P25621	P41544
P47154	Q08986
P23287	Q99332
P17891	P40917
P38112	P53136
P34760	Q02159
P21576	P32561
P41810	Q08601
P19812	P31384
P40054	P42942
P47050	P47135
P43132	Q03012
P36160	Q12176
P00546	P38991
P24870	P40073
P38703	Q03579
P47135	Q12030
P02293	P18412
P25607	P38729
P40186	Q07655
P22141	P40016
P16861	Q12417
P33420	P38930
P32491	P38764
P00830	P06774
P39744	P40078
P53737	Q12045
P38333	P39925
P14906	P46961
Q03048	Q08004
Q06410	Q12421
P36144	Q03981
P29468	P52488
P32468	P50094
P53192	Q12154
P09733	Q08273
P04451	P22202
P13433	P14908
P00950	Q12063
P20434	P34087
P16862	P33298
P00546	Q12071
P25619	Q08929
P28241	P32381
P19145	P38264
P25694	P32598
P14359	Q12446
P32610	Q12223
P38203	P53844
P38764	P53323
P10614	Q06541
P25491	Q00362
P38934	Q06208
P12954	P19882
P40548	P46961
P00950	P40352
P17106	Q06675
P21576	P31244
P34223	P38319
P36149	P38631
P12709	P25343
P10592	P47127
P07806	P19735
P32835	Q08162
P05150	P30620
P32911	P38720
P47047	P53632
P25367	Q04964
P07251	Q06001
P37261	Q02793
P32790	Q12144
P08566	P28241
P38555	P53039
P12685	P38928
P40959	P43581
P53584	Q06208
P39984	P54115
P32521	P39013
P32500	Q05166
P32458	Q02732
P22202	Q99186
P00546	P41697
Q04231	Q12336
P17442	Q06287
P25303	Q12024
P40497	P53728
P40319	P53142
P40971	Q12291
P38228	P52867
P35178	P53261
P22147	Q07350
P29311	P36104
Q03944	Q12230
P40054	P53737
P08417	P19882
P25619	Q12136
P39936	P53550
P38203	Q04748
P18961	Q12232
P47135	P48606
P32356	Q06151
P53267	Q12262
P36036	Q12159
P06242	P06839
P29295	Q12517
P08458	P38690
P00546	Q12048
P40078	P53927
P25644	P49955
P32903	P38356
P53890	Q12458
P49704	Q06819
P16140	Q03956
P32345	P39076
P39936	Q07350
P40070	P40538
P17967	P20081
P43605	Q12158
P04451	P40988
P14832	P53685
P27472	P47011
P05317	P10622
P47135	P87274
P06782	P32259
P14906	P21825
P01123	P04385
P08536	P38852
P53846	Q04902
P22204	P40484
P31374	P53040
P34237	Q03954
P25358	Q08986
P12904	Q00816
P06780	P39011
P36124	P53096
P06787	P36121
P27637	P40095
P07278	P29055
Q02574	Q12400
P29311	Q12018
Q04149	Q07350
P23291	P38161
P35723	P38992
P24583	P40073
P25376	P28496
P40055	P42945
P32837	P38286
P08566	P38316
P18239	P35180
P21576	Q03834
P46673	P53011
P02309	P25635
P17709	Q04660
P43561	Q08215
P11914	P25846
P06100	P36108
P04173	P12954
P22139	P23180
P32458	P38691
P23641	P38153
P32899	P38682
P07251	P53323
P10080	P23291
P10659	P18851
P32787	Q03834
Q00245	Q12500
P14742	Q07657
P16474	P53541
P21957	P22579
P32467	P39742
Q04693	Q08920
P39112	Q04437
P40319	P47186
P38633	Q12012
P53861	Q08208
P38760	Q99257
P23968	P35206
P38333	P53914
P40509	Q08601
P53112	Q07418
P33420	Q06410
P39730	P53260
P10659	Q00362
P38237	Q08271
P16661	P53045
P00546	Q03208
P11484	P36017
P08153	P80428
P15108	Q00246
P52891	Q02199
P14681	P25694
P53336	P53834
P36161	Q02199
P17214	P18239
P40422	Q04149
P38288	P41810
P12753	P54964
P07251	P40856
P40442	P40484
P16140	P39925
P18851	P32902
P43605	Q04264
P00445	P19735
P08458	Q12329
P20448	P32588
P07703	P28241
P42223	Q12134
P34241	Q07623
Q06385	Q06479
P33300	P37304
P09938	P38987
P39547	P53045
P06700	P11978
P38822	P40366
P33301	P38691
P32375	P36528
P32790	P39015
P28496	P33767
P32562	P41813
P08521	Q02630
Q03940	Q07657
P32569	P53725
P38217	Q03940
Q04062	Q08723
P20604	P36046
P06782	P24719
P04911	Q03388
P16387	P32566
P25385	P43603
P80235	Q12349
P12709	Q04437
P32502	Q06410
P53261	Q12522
P31116	Q07350
Q05637	Q06150
P36047	P39003
Q04437	Q12415
P39517	P53297
P36048	P53905
P20676	P35497
P19659	P38782
P12753	P47149
P27344	P47135
P32588	P47170
P38842	Q06644
P25591	P40092
P38779	Q12176
P46673	P48837
P25358	Q08193
P18759	P32854
P53261	Q12176
P06843	P18238
Q02554	Q12417
P32610	P37296
P35198	P47093
P00830	P38077
P19735	Q02260
Q06815	Q12300
P40956	Q08908
P17709	P38197
P15180	P19735
P48235	Q06675
P39111	P41807
P00830	P26188
P40958	P53036
P54862	Q04697
Q02821	Q99312
Q02685	Q12176
P38720	P39743
P32494	P50875
P02829	P27801
P22209	Q02892
P02557	P22204
P02309	P40069
P38217	Q03497
P38855	P80667
P06634	P40507
P25359	P53256
P32912	Q08743
P32806	Q03660
P02829	P38217
P34730	P40970
P40504	P49167
P48837	P53195
P02309	P38199
P32628	P32776
P32606	P53861
Q02831	Q03406
P31384	P53252
P17709	P31244
P06102	Q12449
P07806	Q04740
Q08208	Q08496
P12398	P32328
P32328	P38879
P35724	Q12142
P15938	Q12280
P47135	Q12274
P22141	Q04437
P32324	Q12018
P15992	P32490
P10823	Q08975
Q02630	Q08686
P16861	P25336
P07251	P26755
Q04991	Q06406
P10127	P40352
P34247	P40362
P38703	P38723
P36104	P38123
P20604	Q03957
P40040	Q04659
P38729	Q04121
P38707	P40565
P08465	Q99257
P32599	Q12446
P24583	P41543
P53954	Q03289
Q03497	Q12163
P10080	P12954
P19735	P53905
P00546	P40473
P32629	P50108
P32381	P53894
P22082	Q12406
P35191	Q00772
P38431	Q02892
P16862	P19882
P09734	P38316
O13575	P15938
P20604	Q03305
Q02630	Q12146
P21954	Q02630
P39113	P46954
P25339	P53860
P08678	P18963
P38960	P40070
P32569	Q08601
P16661	P46965
P02994	P32581
P39710	P47135
P53741	Q01477
P02557	P21672
P39744	P40991
P22579	P40505
P15424	P27705
P04911	P32349
P32829	P33301
P28817	P47150
P00546	Q07528
P00546	P32328
Q12464	Q12477
Q02821	Q99258
P53280	Q12514
P0C0X0	P34239
P19882	Q00362
P12398	P32897
P38737	P43593
P53378	P53900
P39011	Q12110
P40991	Q04373
P32473	Q00776
P33892	P38217
P23292	P40052
P22696	P25694
P22203	Q04675
P38968	P39015
P17505	P40036
P26448	P29311
P35194	P37838
P25694	P50942
P02994	Q07350
P26755	P29311
P40047	Q08974
P38764	Q01939
P36150	Q04439
P22137	Q04177
P06243	P26263
P02829	P06243
P21524	P38987
P19735	P46655
P23641	P34164
P43588	Q08723
Q03790	Q06644
P23293	Q05949
P00890	P40352
P17214	Q04373
P25642	P31334
P07251	P09457
P00854	P81450
P40217	Q99247
P39107	Q04301
P12904	Q02805
P38217	P53919
P32585	Q08278
P38967	P39996
P38987	Q12020
P32902	P33759
P52553	Q04493
P39929	Q12033
P37838	Q06436
P33328	P49167
P25491	Q08601
P32502	Q08904
P53872	Q02574
P41940	P46673
P33419	Q12349
P32602	P36048
P00950	P38998
P32458	Q12263
P32641	Q08224
P14906	P38729
P08468	P25385
P52286	Q05930
P26448	P38785
P25379	Q08273
P36006	P37370
P39078	P41811
P04786	P19414
P32569	P54070
P16522	Q08683
P53824	Q03148
P07703	P41811
O13558	P32366
P13393	P16862
P49018	Q03655
P20795	Q03533
P25358	P33767
P15992	P34164
P00950	Q00684
P38360	P61864
P32581	P47079
P06786	P39009
P05694	Q12749
P06839	P38737
P53089	Q03648
P21242	P21243
P40204	Q06217
P40009	P53337
P38112	Q03690
P33400	Q05080
P53932	Q05787
P38204	P53437
P38217	P38737
P29055	P36038
P32354	Q02574
P36014	P43552
P12398	P32797
Q03144	Q03148
P32458	Q04195
P32481	P38203
P13365	P23201
P12351	P25491
P29468	Q12102
P09734	P41811
P33202	Q00776
P25596	P39547
P06779	P10659
P38967	Q02774
P26793	P47135
P40971	P41543
P32861	P39706
P40319	Q12164
P12611	Q07800
P38237	P61864
P40093	P51534
P22133	P39692
P32770	P32831
P06787	P53141
P43593	Q04062
P32589	P38011
P07251	P32345
P15108	Q03497
P29468	Q06224
P09440	P39730
P48813	Q03263
P38346	Q05027
P06787	P29311
P21242	P22141
P06774	P43586
P25491	P38191
P39722	P41800
P36047	P53278
P14922	Q00916
P02994	P38146
Q08754	Q12259
P34221	P38333
P53254	Q06679
P40106	Q12223
P38996	P53617
P40089	Q06217
P38745	P38875
P32350	P40956
P32523	P38302
P09440	P28007
P38260	Q05777
P34241	P38112
P23968	P35723
P25657	P42938
P36006	P47068
P53214	P53584
P32529	Q02574
P60010	Q03558
P07251	P53127
P31379	Q07824
P29295	P35691
P53145	P53313
P38286	P53835
P32491	Q06160
P07257	Q06096
P15703	P38203
P19882	P47147
P35718	P47135
P16474	P39743
Q01560	Q12476
P00950	P25644
P38203	Q06406
P39081	Q08685
P11484	P39925
P19358	Q04675
P32468	Q07657
P00924	P20053
P00546	P17119
P32639	Q02775
P32908	P40541
P15992	Q04437
P04806	P32863
P06839	P18238
P22276	Q12531
P28274	Q99186
P22203	Q03956
P35169	P38873
P38999	Q12125
P15992	Q12477
P02309	P22138
P36076	Q12349
P47108	Q07623
P15424	P40054
P09064	P14741
P47045	Q12328
P36048	P49704
P38785	P50111
P24869	P53724
P04840	P25453
P12709	Q12236
P04173	P36068
P47128	P53951
P25641	P40015
P25376	P53337
P14540	Q99186
P48837	Q02199
P04821	P29295
P06787	P32263
P28007	P32505
P09232	P38217
O13565	P14908
P32598	Q06632
P31378	P40348
Q00578	Q12349
P38930	P40466
P32496	Q12510
P47041	Q02821
P33298	Q08723
P32796	Q02821
P16140	Q12477
P38930	P40362
P15790	Q02979
P12695	P15873
P38822	P47050
P33203	P40362
Q03655	Q06451
P00924	P36104
P02400	P10622
P22579	P42845
P06843	P12398
P38871	P49166
P07257	P38857
P31376	P53930
P05375	P06787
P31384	Q12329
P32803	P38842
P04806	Q03533
P17709	Q04049
P22214	Q12382
P19263	P19659
P04385	P42838
P32495	Q04867
P53168	Q03690
P02829	P28707
P36160	Q08962
P53254	Q06287
P38801	P53256
P18414	Q06451
P07257	P28320
Q00684	Q04660
P40069	Q06668
P47124	Q01590
P04050	P20435
P13393	P32774
Q00772	Q01389
P33299	P38348
P36075	P53215
P33302	P39719
P32494	P38129
P36010	P38987
P53201	Q06337
P32902	P40971
P25694	P38622
P47142	Q06696
P23291	Q05016
P53242	Q03935
P32505	P32588
P40450	Q00246
P22215	P49018
P00546	P40484
P10659	P30620
P38987	P39998
P19454	P39954
P25644	P53727
P12398	P40494
P06787	P53221
P16370	P36053
P53267	Q06410
P39073	P47821
Q06146	Q12202
P00358	P41811
P37838	Q04373
P13134	P47113
P06843	P32835
P38693	Q06208
P13365	Q02606
P06838	P39735
P20081	Q04869
P04385	Q05583
P38286	P53039
P28817	Q02950
P40342	Q12052
P10964	Q08273
P53337	Q08986
P25043	Q04066
P19262	P33202
Q12223	Q12464
P32366	P53252
P10592	P25294
P04397	P38203
P12398	P26570
P32447	Q99314
P32502	P46970
P12684	Q12469
P32505	P50896
P48813	Q05934
P15367	P46965
P36032	Q03455
P40554	Q02821
P39928	P53622
P20604	Q12680
P53323	Q01939
P40162	Q12349
P38260	P46956
P15790	P38968
Q03677	Q08968
P00890	P33322
P40045	P87287
P40956	Q08786
P11986	Q05583
P23833	P38072
P06838	P12398
P06100	Q12514
P06782	Q04279
P02829	P53622
P38282	Q04693
P29055	P38123
P20484	Q04660
P39968	Q06568
P32611	P38217
P29295	P40482
P40016	Q06103
P07703	P39954
P25379	Q12347
P00360	Q05583
P38729	Q08980
P05754	P20486
P19073	Q12329
P14540	P25453
P38883	Q03899
P02294	P31244
P46956	Q99190
Q12028	Q12136
P04840	Q12154
P28519	Q01454
P32486	Q12446
P15992	Q08273
P04173	Q99186
Q12306	Q12349
P02309	P04911
P40478	P48813
P00358	P07260
P06843	Q02821
P19882	Q03702
P46961	Q04697
P39941	P50277
P47135	Q07879
P10869	P20081
P46961	Q02774
P02829	P04385
P40018	Q02260
P32803	P38286
P37265	Q00618
P38875	P39012
P02829	P38629
P27999	P38265
P33419	Q12365
P40326	P47135
P32863	P54115
P14020	P32776
P39987	P53861
P15303	P53323
P04817	P38928
P04397	P25380
P28274	Q00776
P26570	P41818
Q12270	Q12446
P29056	P32367
P25694	P27636
P16140	Q08273
P38987	Q01939
P48233	P53983
P00830	Q06208
P87284	Q02774
P34164	Q04739
P35194	P38333
P23968	P33335
P38041	P53939
P07248	Q12030
P02557	P53541
P05150	Q04149
P50095	Q06344
P39081	Q12102
P23301	P32807
P49686	Q02892
P19882	P41318
P00950	Q04660
Q04660	Q12329
P32908	P40460
P38431	P39936
Q03973	Q04226
P39110	Q12349
P31379	P40440
P38930	Q04067
P32598	P42073
P32432	P36146
P40054	Q05580
P00924	P43612
P38129	Q02336
P54839	P60010
P16387	P41811
P11710	P39732
P02994	Q12222
P07149	P53333
P25616	P53290
P11433	P39969
P40070	Q07350
P16862	Q03702
P39081	Q06224
P33327	P50095
P09119	P50874
P13393	Q02794
P00546	P33332
P29055	P36525
P32381	P33204
P06774	P18239
P40523	Q02630
P11484	P25491
P21672	P32381
P32590	Q00362
P32602	Q12515
P02557	P14741
P24482	P25588
P22336	P32381
P80667	Q08215
P28708	P48361
P05317	Q08601
P40540	Q12431
P02994	P38316
P14832	P40054
Q02774	Q07824
P39003	P53965
P04806	P07703
P39112	P39743
P36161	P46673
P06787	P38232
Q03723	Q06135
P40956	Q02608
P40327	P43593
P38987	P46655
P38932	P38986
P40352	Q04894
P29055	Q04951
P47128	Q12215
Q07508	Q08920
P07703	P43560
Q03818	Q12306
P19262	P34221
P04173	P25453
P48240	Q12277
P19735	Q07551
P38316	Q12527
P20449	Q12023
P25621	P38264
P25301	Q12464
P00546	P32944
P23724	P38886
P12754	P29311
P06838	P32264
Q04964	Q12349
P32494	P38811
P33755	Q03935
P12695	P38316
P38431	P39935
P32570	Q02455
P07342	Q12505
P53088	P53923
P38348	P43132
P20604	P54115
P20457	P38691
P38085	P46956
Q00916	Q03677
P47093	Q12522
P12612	P42838
P12709	P39743
P14741	P60010
P34228	Q03785
P11484	Q12749
P32803	P53176
P38987	P53081
P07703	P32316
P29295	P53136
P08456	P25376
P34162	P47073
P40079	Q06631
P32366	Q07684
P34730	P53197
P40164	P43547
P04173	Q00776
P02400	P25635
P41808	Q07829
P29539	Q06208
P39968	P60010
P38633	Q05946
P33203	Q12186
P07260	P11484
P40061	P41318
P38353	P40548
P04051	P35718
P33895	Q12263
P48234	P53254
P09032	P53843
P38770	P49687
P06105	P34160
Q02821	Q08278
P34077	P48837
P32502	P39692
P38085	P40069
P40471	Q12349
P25300	P38827
P14741	P53843
P34730	Q06208
P15705	P31384
P16151	P53337
P54999	Q12349
P14832	P38262
P32793	Q12134
P38316	Q07978
P30657	P53851
P17967	Q03177
P40204	Q02554
P29055	Q08498
P12398	Q04964
P32912	Q06410
P23968	P39704
P38123	P38764
P41318	P43611
Q01722	Q12154
P38264	Q08986
P28519	Q03702
Q12349	Q99332
P38703	P49018
Q06137	Q06168
P30656	P30657
P19880	Q12349
P00817	P34252
P38298	P43561
P25358	Q08417
P15873	P38766
P04385	Q07350
P29311	Q03088
P04911	P32345
P33331	P40008
P06842	P32793
P22204	P41811
P04385	Q06834
P32492	Q03862
P40024	P41948
P39010	Q12280
P04821	P14771
P38911	Q00916
P53953	Q01590
P36160	Q02892
P32893	P47135
P19812	P32565
Q04120	Q04437
P20433	P27999
P29469	P38132
P16861	Q00362
P25646	P32911
P17255	P40362
P11075	P28241
O13530	P39534
P40073	Q04439
P08521	Q04437
P41940	Q00772
P19524	P50101
P53040	Q03330
P33311	P38857
P13298	P36068
P22133	P22137
P30822	Q12171
P51601	Q02821
P32492	P33892
P25491	Q00776
P17123	P38713
P32902	P36056
P53859	Q08491
Q06644	Q07376
P21264	P32328
Q02630	Q08465
P34730	Q06640
P53040	Q08278
P26188	Q01939
P17157	P28241
P40339	Q12050
P18239	Q12223
P12709	P38197
